topic_cluster,top_tags,topic_name
0,"map, drawing, painting, poster, cartoon, woman, card, background, different, animals",Illustrations and Maps
1,"city, postcard, building, col, picture, painting, church, poster, front, street",Cities and Buildings
2,"painting, flowers, flower, girl, woman, sitting, green, white, background, pink",Flowers and other Patterns
3,"woman, painting, man, holding, dress, poster, sitting, statue, two, white",Human Representations
4,"painting, postcard, tree, picture, background, field, photo, sunset, middle, water",Landscapes
5,"field, standing, cow, cows, sheep, grass, painting, two, group, background",Animals and Fields
6,"painting, poster, man, drawing, cat, bird, cartoon, black, people, sitting",Humans Animals and human Creations
7,"fox, red, grass, two, snow, woods, sitting, standing, cub, tree",Wilderniss and cold Landscapes
8,"bird, sitting, branch, birds, top, two, tree, head, white, background",Birds and Animals
9,"poster, words, white, drawing, map, black, postcard, world, state, day",Miscellaneous Writing
