image_id,filename,dataset_source,label,country_code,topic_cluster,topic_similar_images,topic_similarity_count,color_cluster,color_similar_images,color_similarity_count,country_similar_images,country_similarity_count,total_similar_images,recommendation_quality
0,ANONYMOUS-0.jpg,anonymous,ANONYMOUS,ANONYMOUS,7,"['ANONYMOUS-100.jpg', 'ANONYMOUS-145.jpg', 'ANONYMOUS-29.jpg', 'ANONYMOUS-297.jpg', 'ANONYMOUS-586.jpg', 'ANONYMOUS-601.jpg', 'ANONYMOUS-713.jpg', 'ANONYMOUS-727.jpg', 'ANONYMOUS-779.jpg', 'ANONYMOUS-822.jpg', 'ANONYMOUS-94.jpg', 'BY-2.jpg', 'BY-31.jpg', 'CA-13.jpg', 'CA-34.jpg']",15,0,"['ANONYMOUS-100.jpg', 'ANONYMOUS-101.jpg', 'ANONYMOUS-103.jpg', 'ANONYMOUS-106.jpg', 'ANONYMOUS-108.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-124.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-140.jpg']",10,[],0,24,22.0
1,ANONYMOUS-1.jpg,anonymous,ANONYMOUS,ANONYMOUS,6,"['ANONYMOUS-101.jpg', 'ANONYMOUS-107.jpg', 'ANONYMOUS-12.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-141.jpg', 'ANONYMOUS-143.jpg', 'ANONYMOUS-144.jpg', 'ANONYMOUS-155.jpg', 'ANONYMOUS-157.jpg', 'ANONYMOUS-161.jpg', 'ANONYMOUS-172.jpg', 'ANONYMOUS-178.jpg', 'ANONYMOUS-185.jpg', 'ANONYMOUS-186.jpg']",15,2,"['ANONYMOUS-109.jpg', 'ANONYMOUS-11.jpg', 'ANONYMOUS-110.jpg', 'ANONYMOUS-111.jpg', 'ANONYMOUS-113.jpg', 'ANONYMOUS-114.jpg', 'ANONYMOUS-115.jpg', 'ANONYMOUS-12.jpg', 'ANONYMOUS-136.jpg', 'ANONYMOUS-137.jpg']",10,[],0,24,22.0
2,ANONYMOUS-10.jpg,anonymous,ANONYMOUS,ANONYMOUS,9,"['ANONYMOUS-110.jpg', 'ANONYMOUS-111.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-136.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-142.jpg', 'ANONYMOUS-148.jpg', 'ANONYMOUS-16.jpg', 'ANONYMOUS-162.jpg', 'ANONYMOUS-167.jpg', 'ANONYMOUS-168.jpg', 'ANONYMOUS-17.jpg', 'ANONYMOUS-170.jpg']",15,1,"['ANONYMOUS-104.jpg', 'ANONYMOUS-116.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-131.jpg', 'ANONYMOUS-141.jpg', 'ANONYMOUS-205.jpg', 'ANONYMOUS-206.jpg', 'ANONYMOUS-215.jpg']",10,[],0,25,22.0
3,ANONYMOUS-100.jpg,anonymous,ANONYMOUS,ANONYMOUS,7,"['ANONYMOUS-0.jpg', 'ANONYMOUS-145.jpg', 'ANONYMOUS-29.jpg', 'ANONYMOUS-297.jpg', 'ANONYMOUS-586.jpg', 'ANONYMOUS-601.jpg', 'ANONYMOUS-713.jpg', 'ANONYMOUS-727.jpg', 'ANONYMOUS-779.jpg', 'ANONYMOUS-822.jpg', 'ANONYMOUS-94.jpg', 'BY-2.jpg', 'BY-31.jpg', 'CA-13.jpg', 'CA-34.jpg']",15,0,"['ANONYMOUS-0.jpg', 'ANONYMOUS-101.jpg', 'ANONYMOUS-103.jpg', 'ANONYMOUS-106.jpg', 'ANONYMOUS-108.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-124.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-140.jpg']",10,[],0,24,22.0
4,ANONYMOUS-101.jpg,anonymous,ANONYMOUS,ANONYMOUS,6,"['ANONYMOUS-1.jpg', 'ANONYMOUS-107.jpg', 'ANONYMOUS-12.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-141.jpg', 'ANONYMOUS-143.jpg', 'ANONYMOUS-144.jpg', 'ANONYMOUS-155.jpg', 'ANONYMOUS-157.jpg', 'ANONYMOUS-161.jpg', 'ANONYMOUS-172.jpg', 'ANONYMOUS-178.jpg', 'ANONYMOUS-185.jpg', 'ANONYMOUS-186.jpg']",15,0,"['ANONYMOUS-0.jpg', 'ANONYMOUS-100.jpg', 'ANONYMOUS-103.jpg', 'ANONYMOUS-106.jpg', 'ANONYMOUS-108.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-124.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-140.jpg']",10,[],0,24,22.0
5,ANONYMOUS-102.jpg,anonymous,ANONYMOUS,ANONYMOUS,2,"['ANONYMOUS-103.jpg', 'ANONYMOUS-109.jpg', 'ANONYMOUS-132.jpg', 'ANONYMOUS-137.jpg', 'ANONYMOUS-153.jpg', 'ANONYMOUS-160.jpg', 'ANONYMOUS-166.jpg', 'ANONYMOUS-18.jpg', 'ANONYMOUS-195.jpg', 'ANONYMOUS-223.jpg', 'ANONYMOUS-225.jpg', 'ANONYMOUS-238.jpg', 'ANONYMOUS-246.jpg', 'ANONYMOUS-26.jpg', 'ANONYMOUS-271.jpg']",15,5,"['ANONYMOUS-117.jpg', 'ANONYMOUS-120.jpg', 'ANONYMOUS-128.jpg', 'ANONYMOUS-130.jpg', 'ANONYMOUS-132.jpg', 'ANONYMOUS-133.jpg', 'ANONYMOUS-134.jpg', 'ANONYMOUS-135.jpg', 'ANONYMOUS-142.jpg', 'ANONYMOUS-143.jpg']",10,[],0,24,22.0
6,ANONYMOUS-103.jpg,anonymous,ANONYMOUS,ANONYMOUS,2,"['ANONYMOUS-102.jpg', 'ANONYMOUS-109.jpg', 'ANONYMOUS-132.jpg', 'ANONYMOUS-137.jpg', 'ANONYMOUS-153.jpg', 'ANONYMOUS-160.jpg', 'ANONYMOUS-166.jpg', 'ANONYMOUS-18.jpg', 'ANONYMOUS-195.jpg', 'ANONYMOUS-223.jpg', 'ANONYMOUS-225.jpg', 'ANONYMOUS-238.jpg', 'ANONYMOUS-246.jpg', 'ANONYMOUS-26.jpg', 'ANONYMOUS-271.jpg']",15,0,"['ANONYMOUS-0.jpg', 'ANONYMOUS-100.jpg', 'ANONYMOUS-101.jpg', 'ANONYMOUS-106.jpg', 'ANONYMOUS-108.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-124.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-140.jpg']",10,[],0,25,22.0
7,ANONYMOUS-104.jpg,anonymous,ANONYMOUS,ANONYMOUS,4,"['ANONYMOUS-108.jpg', 'ANONYMOUS-116.jpg', 'ANONYMOUS-123.jpg', 'ANONYMOUS-146.jpg', 'ANONYMOUS-15.jpg', 'ANONYMOUS-163.jpg', 'ANONYMOUS-181.jpg', 'ANONYMOUS-189.jpg', 'ANONYMOUS-19.jpg', 'ANONYMOUS-214.jpg', 'ANONYMOUS-215.jpg', 'ANONYMOUS-219.jpg', 'ANONYMOUS-221.jpg', 'ANONYMOUS-242.jpg', 'ANONYMOUS-25.jpg']",15,1,"['ANONYMOUS-10.jpg', 'ANONYMOUS-116.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-131.jpg', 'ANONYMOUS-141.jpg', 'ANONYMOUS-205.jpg', 'ANONYMOUS-206.jpg', 'ANONYMOUS-215.jpg']",10,[],0,23,22.0
8,ANONYMOUS-105.jpg,anonymous,ANONYMOUS,ANONYMOUS,1,"['ANONYMOUS-112.jpg', 'ANONYMOUS-113.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-119.jpg', 'ANONYMOUS-122.jpg', 'ANONYMOUS-126.jpg', 'ANONYMOUS-127.jpg', 'ANONYMOUS-13.jpg', 'ANONYMOUS-139.jpg', 'ANONYMOUS-140.jpg', 'ANONYMOUS-150.jpg', 'ANONYMOUS-152.jpg', 'ANONYMOUS-156.jpg', 'ANONYMOUS-158.jpg', 'ANONYMOUS-171.jpg']",15,4,"['ANONYMOUS-107.jpg', 'ANONYMOUS-112.jpg', 'ANONYMOUS-122.jpg', 'ANONYMOUS-125.jpg', 'ANONYMOUS-139.jpg', 'ANONYMOUS-148.jpg', 'ANONYMOUS-158.jpg', 'ANONYMOUS-176.jpg', 'ANONYMOUS-179.jpg', 'ANONYMOUS-18.jpg']",10,[],0,21,22.0
9,ANONYMOUS-106.jpg,anonymous,ANONYMOUS,ANONYMOUS,8,"['ANONYMOUS-124.jpg', 'ANONYMOUS-149.jpg', 'ANONYMOUS-165.jpg', 'ANONYMOUS-174.jpg', 'ANONYMOUS-191.jpg', 'ANONYMOUS-201.jpg', 'ANONYMOUS-222.jpg', 'ANONYMOUS-227.jpg', 'ANONYMOUS-228.jpg', 'ANONYMOUS-331.jpg', 'ANONYMOUS-353.jpg', 'ANONYMOUS-356.jpg', 'ANONYMOUS-360.jpg', 'ANONYMOUS-38.jpg', 'ANONYMOUS-415.jpg']",15,0,"['ANONYMOUS-0.jpg', 'ANONYMOUS-100.jpg', 'ANONYMOUS-101.jpg', 'ANONYMOUS-103.jpg', 'ANONYMOUS-108.jpg', 'ANONYMOUS-118.jpg', 'ANONYMOUS-121.jpg', 'ANONYMOUS-124.jpg', 'ANONYMOUS-14.jpg', 'ANONYMOUS-140.jpg']",10,[],0,24,22.0
